,,,,Transect data,,,,,,1m quadrat,,,,,,,,,,,,0.25m quadrat,,,,,,,,,,,,,,,,,
2019-05-30,1,TA-1-2,23,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-2,23,50,20,30,2,2,3,5,"Mussel, barnacle, snail, limpet, midge fly",,,,,,,,,,
2019-05-30,1,TA-1-6,1 to 30,30,0,0,12.42,18,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-6,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-6,12,30,N/A,N/A,N/A,N/A,,280,0,80,4,"Shore Crab (2), Hermit Crab (2)",10,9.3,9.5,6.8,7.3,TA-1-6,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-6,20,30,N/A,N/A,N/A,N/A,,520,0,40,2,Shore Crab (2) ,10,7.5,7.9,5.7,6.3,TA-1-6,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-6,17,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-6,17,2,1,2,1,2,3,5,"Barnacles, snail, limpet, mussels, midge ",,,,,,,,,,
2019-05-30,1,TA-1-6,25,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-6,25,5,3,2,3,2,3,5,"Amphipod, snails (striped and regular), barnacles, mussels, limpet",,,,,,,,,,
2019-05-30,1,TA-1-8,1 to 30,30,0,2,12.42,18,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-8,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-8,4,30,N/A,N/A,N/A,N/A,,500,0,60,4,"Rove Bettle (2), Termite (1), Shore Crab (1)",10,7.8,7.3,5.7,5.2,TA-1-8,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-8,19,30,N/A,N/A,N/A,N/A,,480,0,10,7,"Shore Crab (4), Anthropod (1), Anthropod 2 (1), Isopod (1)",10,12.1,10.1,9.9,8.6,TA-1-8,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-30,1,TA-1-8,6,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-8,6,20,5,18,1,2,2,4,"Barnacles, mussels, snails, limpet",,,,,,,,,,
2019-05-30,1,TA-1-8,18,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-1-8,18,5,3,2,3,2,3,5,"Barnacles, mussels, snails, limpet, crab",,,,,,,,,,
2019-05-31,2,TA-2-3,1 to 30,30,0,0,9.04,19,"Very slippery site; seems like perfect habitat for sea stars-- big rocks with lots of crevices (but only saw 1, not on transect)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-3,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-3,3,30,N/A,N/A,N/A,N/A,,0,0,220,5,"Midge (3), Shore Crab (2) ",10,8.2,7.3,5.9,5.3,TA-2-3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-3,22,30,N/A,N/A,N/A,N/A,,500,4,25,12,"Shore Crab (9), Isopod (2), Hermit Crab (1)",10,15.9,16.2,12.9,13.1,TA-2-3,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-3,5,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-3,5,10,5,10,1,2,3,5,"Barnacles, snail, mussels, limpet, fly ",,,,,,,,,,
2019-05-31,2,TA-2-3,18,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-3,18,70,30,60,1,2,1,3,"Barnacles, snails, mussels ",,,,,,,,,,
2019-05-31,2,TA-2-5,1 to 30,30,0,0,9.04,19,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-5,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-5,20,30,N/A,N/A,N/A,N/A,,40,0,0,10,"Isopod (1), Rove Beetle (7), Striped Snail (1), Termite (1)",2,5.5,5.5,3.7,3.7,TA-2-5,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-5,23,30,N/A,N/A,N/A,N/A,,175,0,25,16,"Striped Snail (1), Midge (10), Rove Beetle (2), Shore Crab (2), Isopod (1) ",10,6.4,5.9,4.9,4.5,TA-2-5,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-5,14,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-5,14,60,40,20,3,2,1,3,"Mussels, barnacles, limpets",,,,,,,,,,
2019-05-31,2,TA-2-5,24,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-5,24,40,25,30,2,2,4,6,"Shore crab, isopod, mussels, barnacles, limpet, snails ",,,,,,,,,,
2019-05-31,2,TA-2-7,1 to 30,30,0,0,9.04,19,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-7,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-7,4,30,N/A,N/A,N/A,N/A,,0,0,30,503,"Midge (500), Mosquito (1), Sand flea (2)",10,7.2,6.5,4.9,4.4,TA-2-7,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-7,14,30,N/A,N/A,N/A,N/A,,0,0,56,N/A,"Midge 1 (N/A), Midge 2 (N/A)",10,5.1,5.2,3.8,3.6,TA-2-7,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-7,13,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-7,13,80,50,40,4,2,2,4,"Limpets, flies, barnacles, mussels ",,,,,,,,,,
2019-05-31,2,TA-2-7,23,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-7,23,20,20,5,2,1,2,3,"Barnacles, flies",,,,,,,,,,
2019-05-31,2,TA-2-8,1 to 30,30,0,0,9.04,19,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-8,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-8,5,30,N/A,N/A,N/A,N/A,,0,0,21,47,"Hermit Crab (1), Shore Crab (3), Midges (40), Rove Beetle (1), Fish (1), Swimming Worm (1)",9,5.0,5.1,4.1,3.8,TA-2-8,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-8,25,30,N/A,N/A,N/A,N/A,,180,0,40,38,"Rove Beetle (2), Midge (25), Shore Crab (10), Hermit Crab (1) ",10,9.0,9.6,6.6,6.0,TA-2-8,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-31,2,TA-2-8,2,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-8,2,100,100,1,2,1,1,2,"Barnacles, flies",,,,,,,,,,
2019-05-31,2,TA-2-8,29,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-2-8,29,90,90,5,4,1,0,1,Barnacles ,,,,,,,,,,
2019-05-16,3,TA-3-2,1 to 30,30,0,0,17.11,15.3,Do salinity and temperature once per site. ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-3-2,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-16,3,TA-3-2,1,30,N/A,N/A,N/A,N/A,,50,0,20,7,"Worm 1 (1), Worm 2 (Polychaete, 1), Spider (1), Worm 3 (Brown, 3), Fly (Intermidge, 1)",10,3.9,4.1,2.2,2.4,TA-3-2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-16,3,TA-3-2,8,30,N/A,N/A,N/A,N/A,,350,0,13,7,"Fly (3), Beetle (4)",10,5.7,4.9,3.9,2.5,TA-3-2,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-16,3,TA-3-2,2,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-3-2,2,25,5,20,4,2,3,5,"Mussel, barnacle, worm, snail, limpet",,,,,,,,,,
2019-05-16,3,TA-3-2,5,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-3-2,5,10,1,10,1,2,2,4,"Mussel, barnacle, snail, limpet ",,,,,,,,,,
2019-05-16,3,TA-3-4,1 to 30,27.5,0,0,17.11,15.3,27.5m long transect.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-3-4,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-16,3,TA-3-4,9,27.5,N/A,N/A,N/A,N/A,,160,0,20,3,"Shore Crab (2), Mite (1)",10,4.2,4.1,2.8,2.6,TA-3-4,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-16,3,TA-3-4,26,27.5,N/A,N/A,N/A,N/A,,150,0,30,7,"Fly (cranefly, 1), Beetle (1), Mite (2), Other Insect (""Hopping"", 1), Fly (Intermidge, 2)",10,12.4,13.4,9.4,9.7,TA-3-4,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-16,3,TA-3-4,18,27.5,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-3-4,18,10,5,10,3,2,3,5,"Mussel, barnacle, snail, limpet, crab",,,,,,,,,,
2019-05-16,3,TA-3-4,20,27.5,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-3-4,20,15,10,5,3,2,3,5,"Mussel, barnacle, snail, limpet",,,,,,,,,,
2019-05-21,3,TA-3-5,1 to 30,30,0,1,14.66,15.4,"Sunny for first half, may have caused mobile invertebrates to hide.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-3-5,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-21,3,TA-3-5,7,30,N/A,N/A,N/A,N/A,,220,0,72,6,"Hermit Crab (1), Shore Crab (5)",10,5.7,5.9,4.0,4.0,TA-3-5,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-21,3,TA-3-5,23,30,N/A,N/A,N/A,N/A,,298,0,38,4,"Shore Crab (3), Midge (1)",10,7.9,7.8,5.9,5.8,TA-3-5,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-21,3,TA-3-5,4,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-3-5,4,20,5,15,2,2,1,3,"Mussel, barnacle, snail",,,,,,,,,,
2019-05-21,3,TA-3-5,22,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-3-5,22,60,50,10,1,,,3,N/A,,,,,,,,,,
2019-05-21,3,TA-3-7,1 to 30,30,0,0,14.66,15.4,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,TA-3-7,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-21,3,TA-3-7,13,30,N/A,N/A,N/A,N/A,,132,0,55,1,Shore Crab (1),10,5.9,5.7,4.0,4.0,TA-3-7,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-21,3,TA-3-7,23,30,N/A,N/A,N/A,N/A,,820,0,48,7,"Beetle (Road, 7) ",10,6.9,6.3,5.2,5.0,TA-3-7,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-21,3,TA-3-7,2,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-3-7,2,25,5,20,2,2,2,4,"Mussel, barnacle, snail, limpet",,,,,,,,,,
2019-05-21,3,TA-3-7,29,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-3-7,29,0,0,0,0,0,0,0,N/A,,,,,,,,,,
2019-04-06,4,TA-4-1,1 to 30,30,8,0,13.8,18.5,1 dead sea star ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-1,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-1,4,30,N/A,N/A,N/A,N/A,,0,0,0,12,"Midge Flies (12), Sea Bugs (N/A)",0,N/A,N/A,N/A,N/A,TA-4-1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-1,19,30,N/A,N/A,N/A,N/A,,0,0,0,0,,0,N/A,N/A,N/A,N/A,TA-4-1,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-1,6,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-1,6,60,40,20,3,2,1,3,"Aquatic worm, barnacles, mussels ",,,,,,,,,,
2019-04-06,4,TA-4-1,29,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-1,29,5,5,0,3,0,0,0,,,,,,,,,,,
2019-04-06,4,TA-4-2,1 to 30,30,26,0,13.8,18.5,Pisaster sea star; red and purple sea stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-2,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-2,9,30,N/A,N/A,N/A,N/A,,0,0,0,5,"Midge (4), Isopod (1)",0,N/A,N/A,N/A,N/A,TA-4-2,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-2,22,30,N/A,N/A,N/A,N/A,,0,0,199,0,,10,10.8,10.4,8.3,8.7,TA-4-2,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-2,10,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-2,10,70,70,0,2,0,0,0,,,,,,,,,,,
2019-04-06,4,TA-4-2,23,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-2,23,15,1,15,2,2,1,3,"Mussels, barnacles, limpets",,,,,,,,,,
2019-04-06,4,TA-4-3,1 to 30,30,0,0,13.8,18.5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-3,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-3,6,30,N/A,N/A,N/A,N/A,,0,0,17,5,"Worm (1), Polychaete (2), Isopod (1), Yellow ""Shrimp"" (1)  ",10,8.0,7.0,6.1,6.1,TA-4-3,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-3,14,30,N/A,N/A,N/A,N/A,,6,0,3,1,Shore Crab (1) ,3,10.1,9.1,7.5,7.2,TA-4-3,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-3,12,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-3,12,95,85,10,2,2,1,3,"Mussels, limpets, barnacles ",,,,,,,,,,
2019-04-06,4,TA-4-3,24,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-3,24,60,50,10,2,2,2,4,"Snails, mussels, barnacles, limpets",,,,,,,,,,
2019-04-06,4,TA-4-8,1 to 30,30,0,1,13.8,18.5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-8,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-8,10,30,N/A,N/A,N/A,N/A,,0,0,130,3,"Green Worm (1), Isopod (1), Fly (1)",10,7.7,7.6,5.5,5.2,TA-4-8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-8,17,30,N/A,N/A,N/A,N/A,,29,0,16,2,"Fly (1), Black Insect (1) ",10,9.2,8.6,6.3,6.5,TA-4-8,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-04-06,4,TA-4-8,8,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-8,8,30,30,0,3,0,0,0,,,,,,,,,,,
2019-04-06,4,TA-4-8,25,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-4-8,25,30,1,29,1,2,0,2,"Mussel, barnacle",,,,,,,,,,
2019-05-22,5,TA-5-1,1 to 30,26.3,0,2,22.65,13.3,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-1,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-1,13,26.3,N/A,N/A,N/A,N/A,,0,111,70,6,"Worm 1 (1), Worm 2 (1), Caprellid (2), Fly (2) ",10,3.0,2.8,1.9,1.9,TA-5-1,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-1,23,26.3,N/A,N/A,N/A,N/A,,0,300,25,0,,10,3.2,2.7,2.2,1.9,TA-5-1,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-1,4,26.3,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-1,4,99,80,19,3,2,5,7,"Sowbug, fly, barnacle, mussel, isopod, limpet, worm. Invertebrate cover determined by moving algae",,,,,,,,,,
2019-05-22,5,TA-5-1,4,26.3,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-1,4,99,75,24,3,2,5,7,"Isopod, worm, barnacle, sowbug, mussel, crab, limpet",,,,,,,,,,
2019-05-22,5,TA-5-2,1 to 30,22.2,3,11,22.65,13.3,"Leather sea star, pisaster sea star",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-2,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-2,1,22.2,N/A,N/A,N/A,N/A,,0,0,40,8,"Scud 1 (2), Fly (4), Scud 2 (2)",10,2.9,2.9,2.1,2.1,TA-5-2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-2,12,22.2,N/A,N/A,N/A,N/A,,0,5,50,9,"Fly (2), Beetle (1), Shore Crab (3), Sowbug (1), Hermit Crab (1), Worm (1) ",10,3.4,2.9,2.7,2.3,TA-5-2,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-2,3,22.2,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-2,3,95,35,60,4,1,3,4,"Barnacle, caprellid, limpet, snail",,,,,,,,,,
2019-05-22,5,TA-5-2,20,22.2,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-2,20,10,1,9,1,1,0,1,Barnacle,,,,,,,,,,
2019-05-22,5,TA-5-4,1 to 30,30,0,0,22.65,13.3,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-4,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-4,13,30,N/A,N/A,N/A,N/A,,8,0,260,13,"Worm 1 (5), Worm 2 (4), Fly (2), Amphipod 1 (1), Amphipod 2 (1)",10,9.5,8.3,6.2,6.2,TA-5-4,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-4,26,30,N/A,N/A,N/A,N/A,,105,0,5,27,"Beetle (1), Worm 1 (2), Worm 2 (3), Crab (3), Anthropod 1 (8), Anthropod 2 (10), Anemones",5,6.7,5.8,3.8,3.5,TA-5-4,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-4,7,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-4,7,30,20,10,3,2,3,5,"Barnacle, mussel, limpet, worm, fly",,,,,,,,,,
2019-05-22,5,TA-5-4,25,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-4,25,5,2,3,2,2,4,6,"Barnacle, mussel, limpet, worm, snail, anthropod",,,,,,,,,,
2019-05-22,5,TA-5-7,1 to 30,30,4,0,22.65,13.3,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-7,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-7,2,30,N/A,N/A,N/A,N/A,,30,0,240,26,"Worm 1 (2), Worm 2 (1), Worm 3 (1), Isopod 1 (19), Isopod 2 (2), Isopod 3 (1)",10,5.0,4.7,3.3,3.5,TA-5-7,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-7,19,30,N/A,N/A,N/A,N/A,,10,0,200,0,,10,5.7,5.9,4.2,4.3,TA-5-7,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-05-22,5,TA-5-7,11,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-7,11,30,20,10,3,2,3,5,"Barnacle, mussel, limpet, isopod, amphipod ",,,,,,,,,,
2019-05-22,5,TA-5-7,17,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-5-7,17,20,19,1,3,1,2,3,"Barnacle, limpet, isopod ",,,,,,,,,,
2019-03-06,6,TA-6-1,1 to 30,30,0,0,18.4,15.8,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-1,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-03-06,6,TA-6-1,2,30,N/A,N/A,N/A,N/A,,0,0,0,1,Polychaete (1),0,N/A,N/A,N/A,N/A,TA-6-1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
