Site TA,Site & transect,Transect Point (m),Date,Time,Littorine snails,Nucella snails,Limpets,Other,"Specify-- Species 1 (Count), Species 2 (Count)…",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-2,12, 2019-05-22,3:10:00 PM,0,5,50,9,"Fly (2), Beetle (1), Shore Crab (3), Sowbug (1), Hermit Crab (1), Worm (1) ",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-4,13, 2019-05-22,1:30:00 PM,8,0,260,13,"Worm 1 (5), Worm 2 (4), Fly (2), Amphipod 1 (1), Amphipod 2 (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-4,26, 2019-05-22,2:10:00 PM,105,0,5,27,"Beetle (1), Worm 1 (2), Worm 2 (3), Crab (3), Anthropod 1 (8), Anthropod 2 (10), Anemones",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-7,2, 2019-05-22,2:45:00 PM,30,0,240,26,"Worm 1 (2), Worm 2 (1), Worm 3 (1), Isopod 1 (19), Isopod 2 (2), Isopod 3 (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-7,19, 2019-05-22,3:20:00 PM,10,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-1,6, 2019-05-30,9:52:00 AM,38,0,68,6,"Fly (5), Worm (Polychaete 1)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-1,20, 2019-05-30,10:29:00 AM,250,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-2,13, 2019-05-30,9:20:00 AM,9,0,26,181,"Midge Fly (180), Isopod (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-2,20, 2019-05-30,9:48:00 AM,98,0,9,41,"Fly (40), White Crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-6,12, 2019-05-30,11:12:00 AM,280,0,80,4,"Shore Crab (2), Hermit Crab (2)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-6,20, 2019-05-30,11:46:00 AM,520,0,40,2,Shore Crab (2) ,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-8,4, 2019-05-30,10:36:00 AM,500,0,60,4,"Rove Bettle (2), Termite (1), Shore Crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-8,19, 2019-05-30,N/A,480,0,10,7,"Shore Crab (4), Anthropod (1), Anthropod 2 (1), Isopod (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-3,3, 2019-05-31,10:46:00 AM,0,0,220,5,"Midge (3), Shore Crab (2) ",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-3,22, 2019-05-31,11:05:00 AM,500,4,25,12,"Shore Crab (9), Isopod (2), Hermit Crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-5,20, 2019-05-31,10:50:00 AM,40,0,0,10,"Isopod (1), Rove Beetle (7), Striped Snail (1), Termite (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-5,23, 2019-05-31,11:15:00 AM,175,0,25,16,"Striped Snail (1), Midge (10), Rove Beetle (2), Shore Crab (2), Isopod (1) ",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-7,4, 2019-05-31,9:30:00 AM,0,0,30,503,"Midge (500), Mosquito (1), Sand flea (2)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-7,14, 2019-05-31,9:47:00 AM,0,0,56,N/A,"Midge 1 (N/A), Midge 2 (N/A)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-8,5, 2019-05-31,9:40:00 AM,0,0,21,47,"Hermit Crab (1), Shore Crab (3), Midges (40), Rove Beetle (1), Fish (1), Swimming Worm (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-8,25, 2019-05-31,10:06:00 AM,180,0,40,38,"Rove Beetle (2), Midge (25), Shore Crab (10), Hermit Crab (1) ",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-1,2,2019-03-06,11:28:00 AM,0,0,0,1,Polychaete (1),,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-1,20,2019-03-06,11:50:00 AM,87,0,6,12,Shore Crab (12),,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-2,14,2019-03-06,11:37:00 AM,0,0,3,10,Shore Crab (10),,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-2,20,2019-03-06,11:45:00 AM,6,0,1,9,"Worm (1), Midge (3), Shore Crab (5)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-6,3,2019-03-06,12:26:00 PM,0,0,1,11,"Purple Sea Star (2), White Sea Star (1), Sea Anemone (1), Amphipod (6), Worm (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-6,25,2019-03-06,12:53:00 PM,6,0,0,6,Shore Crab (6),,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-7,4,2019-03-06,12:20:00 PM,2,0,10,5,"Midge (3), Shore Crab (2) ",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-7,14,2019-03-06,12:57:00 PM,80,0,5,14,"Crab (7), Amphipod (6), Isopod (1) ",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-1,4,2019-04-06,12:20:00 PM,0,0,0,12,"Midge Flies (12), Sea Bugs (N/A)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-1,19,2019-04-06,12:40:00 PM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-2,9,2019-04-06,12:30:00 PM,0,0,0,5,"Midge (4), Isopod (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-2,22,2019-04-06,12:47:00 PM,0,0,199,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-3,6,2019-04-06,1:00:00 PM,0,0,17,5,"Worm (1), Polychaete (2), Isopod (1), Yellow ""Shrimp"" (1)  ",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-3,14,2019-04-06,1:25:00 PM,6,0,3,1,Shore Crab (1) ,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-8,10,2019-04-06,1:38:00 PM,0,0,130,3,"Green Worm (1), Isopod (1), Fly (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-8,17,2019-04-06,2:00:00 PM,29,0,16,2,"Fly (1), Black Insect (1) ",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-1,25,2020-05-26,1:26:00 PM,2,0,4,5,Clam (1) tiny flies (4),,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-1,14,2020-05-26,1:55:00 PM,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-5,10,2020-05-26,2:52:00 PM,0,0,49,1,Amphipod (1),,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-5,13,2020-05-26,2:31:00 PM,2,,19,2,Sandflea (2),,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-3,24,2020-05-26,2:40:00 PM,0,1,4,6,"Hermi crab (2), shore crab (3), fly (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-3,10,2020-05-26,3:07:00 PM,0,0,14,4,"tiny fly (3), tiny worm larva (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-6,16,2020-05-26,1:20:00 PM,392,0,36,9,"hermi crab (4), tiny fly (2), mite (1), insect (1), sand flea (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-6,24,2020-05-26,1:44:00 PM,171,0,12,7,"shore crab (2), amphipod (3), worm (1), hermit crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-3,5,2020-05-27,2:16:00 PM,11,0,130,3,"hermit crab (2), small fly (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-4,20,2020-05-27,3:25:00 PM,68,0,27,4,rockweed isopod (4),,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-3,5,2020-05-27,2:51:00 PM,220,0,40,5,"cockle (3), hermit crab (1), tiny fly (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-4,24,2020-05-27,3:30:00 PM,120,0,40,4,tiny beetle (4),,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-7,16,2020-05-27,2:36:00 PM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-7,6,2020-05-27,2:45:00 PM,0,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-5,29,2020-05-27,1:56:00 PM,50,0,142,4,"shore crab (1), amphipod (3)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-5,24,2020-05-27,1:37:00 PM,1,0,4,11,amphipods (11),,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-3,1,2020-06-03,10:15:00 AM,0,0,3,8,"tiny shrimp (4), green shore crab (1), tiny worm larva (1), rockweed isopod (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-3,15,2020-06-03,10:35:00 AM,220,0,30,14,"tiny fish (2), green shore crab (11), hermit crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-1,7,2020-06-03,9:21:00 AM,16,0,0,2,"tiny shrimp (1), green shore crab (1). Little tidal pool",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-1,8,2020-06-03,8:53:00 AM,8,1,6,11,"Green shore crab (7), tiny shrimp (4)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-5,13,2020-06-03,9:00:00 AM,29,1,26,24,"midges (20), caterpillar? (1), cockle (1), crab (2)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-5,10,2020-06-03,8:44:00 AM,30,0,9,11,"tiny fly (10), crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-6,10,2020-06-03,9:48:00 AM,0,0,105,40,"crane fly (2), midge (32), shore crab (2), ribbon worm (1), larva? (3)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-6,4,2020-06-03,9:33:00 AM,0,0,0,45,midges  (45),,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-1,6,2020-06-09,1:10:00 PM,3,0,63,10,"isopod (1), hermit crab (2), shore crab (3), midge (4)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-1,2,2020-06-09,1:31:00 PM,0,0,40,5,"white worm (1), polychete (1), midges (3)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-2,8,2020-06-09,2:54:00 PM,13,1,74,6,"white worm (2), nemertean worm (2), shore crab (2)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-2,6,2020-06-09,2:30:00 PM,1,5,41,16,"midge (2), nemertean worm (4), other worm (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-3,28,2020-06-09,1:00:00 PM,194,0,137,21,"scuds (18), green shore crab (3)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-3,14,2020-06-09,1:33:00 PM,18,0,160,12,"horsehair worm (9), scud (1), green shore crab (1), midge fly (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-8,18,2020-06-09,3:24:00 PM,21,0,100,5,"horsehair worm (4), mud nemertean (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-8,6,2020-06-09,3:03:00 PM,3,0,4,14,"scud (4), midge fly (7), horsehair worm (3)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-1,21,2020-06-04,10:32:00 AM,95,0,48,7,"midge (6), 1cm orange worm (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-1,6,2020-06-04,9:56:00 AM,27,0,90,8,"midge (5), mud nemertean (3)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-2,25,2020-06-04,12:08:00 PM,170,0,80,4,"midges (3), bumble bee (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-2,6,2020-06-04,12:00:00 PM,1,0,11,4,"hermit crab (2), midge (2)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-3,15,2020-06-18,9:22:00 AM,15,0,36,18,"small midge (8), large midge (8), shore crab (2)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-3,3,2020-06-18,9:02:00 AM,0,0,1,491,"small midges (480 e), large midges (7), scud (4)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-8,4,2020-06-18,9:36:00 AM,10,0,20,100,midges (100),,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-8,12,2020-06-18,8:59:00 AM,196,2,88,8,midges (8),,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-7,19,2020-06-10,3:48:00 PM,390,0,23,13,"pacific little neck clam (2), hermit crab (3), midge fly (1), green shore crab (7)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-7,8,2020-06-10,3:26:00 PM,141,0,158,3,"p. little neck clam (2), green shore crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-5,4,2020-06-10,1:44:00 PM,300,0,119,3,"midges (2), horsehair worm (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-5,27,2020-06-10,2:38:00 PM,567,0,50,9,"green shore crab (5), midge (2), pacific littleneck clam (1), scud (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-4,24,2020-06-10,3:19:00 PM,63,0,16,4,"shore crab (2), mite (1), larva worm (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-4,4,2020-06-10,2:53:00 PM,85,0,24,10,shore crab (10),,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-2,10,2020-06-10,2:05:00 PM,295,0,14,4,brown beetles (4),,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-2,9,2020-06-10,1:39:00 PM,22,0,11,1,beetle with horizontal white stripe (1),,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-3,10,2021-06-04,9:17:00 AM,110,0,44,112,"mites (111), amphipods (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-3,9,2021-06-04,8:37:00 AM,176,0,54,7,"mites (3), shore crabs (4)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-7,1,2021-06-04,10:03:00 AM,51,0,17,2,worm? (2),,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-7,7,2021-06-04,10:44:00 AM,271,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-5,1,2021-06-04,10:05:00 AM,249,0,18,3,shore crabs,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-5,5,2021-06-04,10:25:00 AM,356,0,66,1,shore crab,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-6,1,2021-06-04,8:37:00 AM,217,0,12,1,shore crab,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-6,12,2021-06-04,9:37:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-6,24,2021-05-24,2:04:00 PM,12,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-6,25,2021-05-24,2:17:00 PM,50,0,35,3,hermit crabs,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-5,15,2021-05-27,1:15:00 PM,0,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-5,19,2021-05-27,1:29:00 PM,1,0,14,1,beetle/centipede hybrid creature,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-3,14,2021-05-27,1:00:00 PM,0,0,12,1,Slug/black worm ,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-3,30,2021-05-27,12:34:00 PM,0,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-1,10,2021-05-25,11:10:00 AM,0,0,25,4,"crab (1), midge (3)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-4,11,2021-05-25,12:52:00 PM,85,0,21,2,"crab (1), amphipod (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-1,25,2021-05-25,11:33:00 AM,2,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-4,16,2021-05-25,12:46:00 PM,76,0,12,2,"isopod (1), amphipod (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-7,17,2021-05-25,11:30:00 AM,500,0,45,7,"amphipod (2), shore crab (3), mussels, isopod idotea (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-7,4,2021-05-25,11:00:00 AM,3,0,21,10,"purple sea star (8), anemone (1), hermit crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-2,20,2021-06-08,1:06:00 PM,92,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-2,16,2021-06-08,12:28:00 PM,151,0,16,1,amphipod (1),,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-1,3,2021-06-08,10:49:00 AM,11,0,55,2,"hermit crab, eelgrass isopod",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-1,17,2021-06-08,11:24:00 AM,78,0,48,1,eelgrass isopod,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-4,14,2021-06-08,11:02:00 AM,20,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-4,19,2021-06-08,11:33:00 AM,79,0,75,1,green shore crab,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-7,17,2021-06-08,12:23:00 PM,2,0,7,1,shore crab,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-7,18,2021-06-08,12:39:00 PM,1,0,10,2,"shore crab, isopod (only saw tail)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-2,16,2021-06-10,12:13:00 PM,133,68,108,2,"2 ""fruit fly"", 1 2.5 cm crab, black in colour (green shore crab?)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-2,8,2021-06-10,1:08:00 PM,9,0,58,2,"1 mud nemertian, see photo, 1 green shore crab, 15 mm, green colour",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA 5-1,4,2021-06-10,11:59:00 AM,11,0,51,2,"mud nemertian, isopod",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-1,21,2021-06-10,12:53:00 PM,744,0,49,1,red crab,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-4,13,2021-06-10,1:54:00 PM,5,0,267,1,"""fruit flies""",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-4,17,2021-06-10,2:11:00 PM,6,0,45,1,little neck clam,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-8,8,2021-06-15,2:54:00 PM,7,1,104,3,"5 shore crab, 3 hermit crab, 1 bivalve, only saw ""arm"" cannot be identified",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-8,14,2021-06-15,4:00:00 PM,97,0,146,1,shorecrab,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-2,14,2021-06-15,2:56:00 PM,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-2,10,2021-06-15,3:12:00 PM,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-6,4,2021-06-15,5:06:00 PM,0,0,1,1,1 amphipod,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-6,13,2021-06-15,5:08:00 PM,0,0,0,1,1 shore crab,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-5,24,2021-06-15,3:56:00 PM,3,0,11,1,2 shore crab,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-5,17,2021-06-15,4:09:00 PM,0,0,15,1,1 sea flea,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-8,1,2021-06-16,4:52:00 PM,7,0,12,2,"2 isopods (looks like a black ball), 1 hermit crab",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-8,20,2021-06-16,5:14:00 PM,97,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-3,12,2021-06-16,3:57:00 PM,10,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-3,27,2021-06-16,4:35:00 PM,15,0,23,1,2 white 'flea' invertebrates,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-6,3,2021-06-16,5:44:00 PM,7,0,79,1,1 male green shore crab,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-6,10,2021-06-16,6:05:00 PM,119,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-2,18,2022-05-31,12:43:00 PM,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-2,23,2022-05-31,1:00:00 PM,12,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-3,13,2022-05-31,1:58:00 PM,9,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-3,19,2022-05-31,2:10:00 PM,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-6,15,2022-05-31,12:43:00 PM,39,0,30,0,"Abundance of Pacific blue mussels and Acorn barnacles, Lots of Sea lettuce (ulva), Rockweed is present, Checkered periwinkles",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-6,20,2022-05-31,1:07:00 PM,6,0,15,0,"Checkered periwinkles, Some Littleneck clams, Abundance of Rockweed, Pacific blue mussels, Acorn barnacles, and some Ulva lettuce",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-7,9,2022-05-31,1:32:00 PM,21,0,19,0,"Checkered periwinkles, Ulva lettuce, lots of Rockweed, Filamentous red algae",,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-7,23,2022-05-31,1:53:00 PM,4,0,1,0,"Lots of Sea lettuce (ulva), maybe two types (intestinalis?). Some Rockweed. Carpet-like red algae covers most of rock",,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-1,23,2022-06-01,1:32:00 PM,124,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-1,11,2022-06-01,1:51:00 PM,69,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-2,13,2022-06-01,2:28:00 PM,40,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-2,17,2022-06-01,2:39:00 PM,46,0,64,1,Olympic Oyster Crab,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-5,8,2022-06-01,1:32:00 PM,0,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-5,29,2022-06-01,1:52:00 PM,6,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-7,8,2022-06-01,2:42:00 PM,0,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-7,23,2022-06-01,3:07:00 PM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-1,21,2022-06-02,1:55:00 PM,36,0,7,0,"Rockweed, Sea lettuce, Pacific blue mussel ",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-1,22,2022-06-02,2:20:00 PM,38,0,15,1,Isopod,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-3,4,2022-06-02,3:03:00 PM,41,1,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-3,22,2022-06-02,3:26:00 PM,16,0,9,2,"Red mites (4-6), Isopods (several)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-6,7,2022-06-24,9:56:00 AM,39,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-6,28,2022-06-24,10:13:00 AM,28,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-7,12,2022-06-24,10:54:00 AM,18,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-7,18,2022-06-24,10:40:00 AM,85,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-2,3,2022-05-20,4:07:00 PM,0,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-2,8,2022-05-20,4:33:00 PM,12,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-3,5,2022-05-20,5:14:00 PM,27,0,9,1,Crab (1),,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-3,22,2022-05-20,5:01:00 PM,32,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-5,9,2022-05-20,5:35:00 PM,200,0,5,3,"Amphipods (2), Shorecrab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-5,13,2022-05-20,5:50:00 PM,60,0,0,4,Amphipods (4),,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-7,8,2022-05-20,3:58:00 PM,11,0,24,2,"Ochre sea star, kelp encrusting bryozoan",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-7,23,2022-05-20,4:39:00 PM,500,0,15,4,"Mussels, Littleneck clam (1), Rockweed, Blackpine seaweed (?)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-1,11,2022-05-19,2:14:00 PM,184,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-1,8,2022-05-19,2:26:00 PM,8,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
