Site TA,Site & transect,Transect Point (m),Date,Time,Number of individuals measured,Mean Length (mm),Median Length (mm),Mean Width (mm),Median Width (mm),Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Comments
1,TA-1-6,12, 2019-05-30,11:12:00 AM,10,9.3,9.5,6.8,7.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-6,20, 2019-05-30,11:46:00 AM,10,7.5,7.9,5.7,6.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-8,4, 2019-05-30,10:36:00 AM,10,7.8,7.3,5.7,5.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-8,19, 2019-05-30,N/A,10,12.1,10.1,9.9,8.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-3,3, 2019-05-31,10:46:00 AM,10,8.2,7.3,5.9,5.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-3,22, 2019-05-31,11:05:00 AM,10,15.9,16.2,12.9,13.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-5,20, 2019-05-31,10:50:00 AM,2,5.5,5.5,3.7,3.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-5,23, 2019-05-31,11:15:00 AM,10,6.4,5.9,4.9,4.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-7,4, 2019-05-31,9:30:00 AM,10,7.2,6.5,4.9,4.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-7,14, 2019-05-31,9:47:00 AM,10,5.1,5.2,3.8,3.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-8,5, 2019-05-31,9:40:00 AM,9,5.0,5.1,4.1,3.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-8,25, 2019-05-31,10:06:00 AM,10,9.0,9.6,6.6,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-1,2,2019-03-06,11:28:00 AM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-1,20,2019-03-06,11:50:00 AM,6,6.1,6.3,4.8,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 dead sea star 
6,TA-6-2,14,2019-03-06,11:37:00 AM,3,6.4,6.3,4.8,4.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sea anemone 
6,TA-6-2,20,2019-03-06,11:45:00 AM,1,5.6,5.6,4.0,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-6,3,2019-03-06,12:26:00 PM,1,3.0,3.0,2.5,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-6,25,2019-03-06,12:53:00 PM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-7,4,2019-03-06,12:20:00 PM,7,12.2,14.8,9.1,10.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-7,14,2019-03-06,12:57:00 PM,5,6.8,6.5,5.1,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-1,4,2019-04-06,12:20:00 PM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lots of algae; fungi-like pattern on algae; active mussels and barnacles present 
4,TA-4-1,19,2019-04-06,12:40:00 PM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Barren waste land 
4,TA-4-2,9,2019-04-06,12:30:00 PM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-2,22,2019-04-06,12:47:00 PM,10,10.8,10.4,8.3,8.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-3,6,2019-04-06,1:00:00 PM,10,8.0,7.0,6.1,6.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-3,14,2019-04-06,1:25:00 PM,3,10.1,9.1,7.5,7.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-8,10,2019-04-06,1:38:00 PM,10,7.7,7.6,5.5,5.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-8,17,2019-04-06,2:00:00 PM,10,9.2,8.6,6.3,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-1,25,2020-05-26,1:26:00 PM,5,6.8,6.6,4.8,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-1,14,2020-05-26,1:55:00 PM,5,7.7,7.3,5.3,5.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-5,10,2020-05-26,2:52:00 PM,10,7.2,7.0,5.3,5.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-5,13,2020-05-26,2:31:00 PM,10,8.8,7.6,5.9,5.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-3,24,2020-05-26,2:40:00 PM,10,7.9,6.7,6.8,6.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-3,10,2020-05-26,3:07:00 PM,10,7.4,7.2,5.4,5.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-6,16,2020-05-26,1:20:00 PM,10,9.0,7.8,6.9,6.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-6,24,2020-05-26,1:44:00 PM,10,8.5,7.5,6.3,5.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-3,5,2020-05-27,2:16:00 PM,10,7.3,6.2,5.1,4.6,13.60,9.90,6.00,4.60,6.20,4.60,3.70,2.60,5.20,3.20,8.30,5.00,13.80,9.70,6.80,4.20,3.60,2.60,6.20,4.50,
2,TA-2-4,20,2020-05-27,3:25:00 PM,10,7.6,7.0,6.7,5.9,7.72,5.82,7.87,5.82,6.81,5.31,10.19,8.97,6.55,4.78,7.04,5.97,5.11,4.09,11.68,13.97,6.91,6.35,6.48,6.12,
2,TA-2-3,5,2020-05-27,2:51:00 PM,10,13.3,11.7,10.0,9.4,11.90,9.40,21.80,17.30,6.80,7.00,21.30,16.70,12.70,6.10,8.50,5.80,10.80,9.40,9.50,7.30,18.50,11.90,11.50,9.50,"1 oyster, 2 ssp of littorine snails"
2,TA-2-4,24,2020-05-27,3:30:00 PM,10,9.1,7.3,6.8,6.3,14.90,7.70,9.00,7.20,6.20,3.60,19.00,15.70,6.80,4.30,7.70,5.40,6.50,4.90,6.30,4.70,9.10,7.10,5.20,7.20,too dark and rocky to count underthe rocks/in the shade
2,TA-2-7,16,2020-05-27,2:36:00 PM,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"mussels, barnacles, leaf lettuce, brown algae"
2,TA-2-7,6,2020-05-27,2:45:00 PM,10,6.4,6.3,4.8,4.8,5.97,4.24,4.85,4.14,6.99,6.02,6.71,4.55,6.20,4.85,6.35,4.22,5.92,4.80,5.77,4.75,8.23,5.54,7.06,4.88,
2,TA-2-5,29,2020-05-27,1:56:00 PM,10,10.0,8.8,7.2,7.0,7.01,6.60,7.01,4.62,18.97,13.74,7.87,7.32,9.70,7.47,10.77,8.92,14.83,8.94,5.59,2.82,7.87,5.08,9.98,6.05,
2,TA-2-5,24,2020-05-27,1:37:00 PM,4,5.5,5.9,3.8,3.9,5.72,3.78,6.17,4.78,3.68,2.82,6.48,4.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-3,1,2020-06-03,10:15:00 AM,3,5.4,5.5,7.1,7.0,5.16,7.11,5.51,7.01,5.64,7.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Partly in intertidal pool. Sea lettuce, brown algae, turkish washcloth, barnacles, tiny flies, mussels"
6,TA-6-3,15,2020-06-03,10:35:00 AM,10,4.4,4.1,5.2,5.4,4.29,6.02,3.96,5.33,3.76,4.50,5.03,6.22,4.55,3.51,3.96,5.46,3.91,5.54,3.68,4.85,5.59,3.96,5.13,6.25,
6,TA-6-1,7,2020-06-03,9:21:00 AM,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Small flies, sea lettuce, brown algae, barnacles, mussels, bull kelp"
6,TA-6-1,8,2020-06-03,8:53:00 AM,6,6.6,6.6,5.8,5.9,7.04,7.21,6.02,4.62,5.64,6.45,6.22,4.45,7.39,6.12,7.26,5.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Small flies, barnacles, sea lettuce, mussels, brown algae"
6,TA-6-5,13,2020-06-03,9:00:00 AM,10,6.9,6.9,5.2,5.0,6.90,4.50,6.60,6.30,7.20,4.90,6.40,5.00,7.70,5.10,6.70,5.00,6.10,4.50,6.90,5.10,7.00,6.70,7.50,4.60,possible rolly polly of the sea
6,TA-6-5,10,2020-06-03,8:44:00 AM,N/A,10.0,10.0,6.5,5.3,21.70,12.20,10.00,5.70,10.60,5.30,12.90,9.90,7.60,5.10,4.00,3.40,5.50,3.40,6.20,4.60,11.80,9.10,N/A,N/A,
6,TA-6-6,10,2020-06-03,9:48:00 AM,10,8.2,8.1,6.4,6.4,8.00,5.30,8.40,6.10,8.50,7.90,5.90,4.30,8.20,6.70,7.40,5.80,8.00,5.90,10.00,7.30,8.00,6.70,9.90,7.80,
6,TA-6-6,4,2020-06-03,9:33:00 AM,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,TA-5-1,6,2020-06-09,1:10:00 PM,10,8.1,6.8,6.3,5.4,6.40,4.60,10.21,10.01,7.82,5.89,6.68,5.56,6.25,4.93,6.53,4.75,8.66,5.84,6.45,5.28,14.76,11.43,6.88,4.88,
5,TA-5-1,2,2020-06-09,1:31:00 PM,10,7.6,7.4,5.4,5.5,8.26,5.87,6.73,4.85,7.92,5.51,7.16,5.16,8.26,5.66,7.44,5.82,4.45,2.46,7.26,4.39,10.92,8.69,7.21,5.44,
5,TA-5-2,8,2020-06-09,2:54:00 PM,10,7.8,7.1,6.0,5.8,7.57,5.66,6.48,4.70,7.01,6.07,5.72,4.75,15.29,11.20,7.67,5.89,6.91,5.72,7.26,5.89,6.15,4.57,7.65,5.82,
5,TA-5-2,6,2020-06-09,2:30:00 PM,10,6.3,5.9,4.7,4.6,5.38,4.55,5.41,4.47,7.21,6.20,10.06,7.62,6.40,5.05,6.71,4.75,4.70,2.54,4.98,3.15,4.78,3.07,7.01,5.13,
5,TA-5-3,28,2020-06-09,1:00:00 PM,10,9.2,7.8,6.5,5.6,13.40,9.40,9.00,6.50,5.40,3.70,5.90,5.00,6.60,4.50,16.80,11.90,12.70,10.20,5.30,2.70,10.70,6.10,6.40,4.60,"snails, limpets, scuds, brown algae, barnacles, mussels, sea lettuce"
5,TA-5-3,14,2020-06-09,1:33:00 PM,10,6.5,6.6,5.0,5.2,6.50,5.70,7.10,5.20,6.20,5.60,7.90,5.70,6.80,4.40,6.70,5.10,6.70,5.20,6.40,5.70,5.30,3.50,5.20,4.20,"sea lettuce, turkish washcloth, mussels, barnacles, limpets, snails, rockweed, horsehair worm, unIDed black circular squishy orange streaks (2), green shore crab, midge fly"
5,TA-5-8,18,2020-06-09,3:24:00 PM,10,6.1,6.1,5.0,5.1,5.60,4.10,5.40,4.90,4.20,3.90,6.60,5.30,6.00,5.50,6.80,6.00,6.10,3.80,2.80,2.00,7.70,5.70,9.70,8.30,"sea lettuce, limpets, horsehair worms, mussels, snails, barnacles, brown algae, rockweed, turkish washcloth, mud nemertean, sarcodiotheca"
5,TA-5-8,6,2020-06-09,3:03:00 PM,4,5.8,5.9,4.9,4.9,6.10,3.90,5.40,4.20,6.20,5.50,5.60,5.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"sea lettuce, barnacles, turkish washcloth, mussels, limpets, snails, scuds, horsehair worms, filamentous red seaweed, midge, sugar wrack kelp, sarcodiotheca, brown algae, sea algae"
4,TA-4-1,21,2020-06-04,10:32:00 AM,10,6.4,6.1,5.9,5.7,6.40,7.47,5.87,5.56,5.89,8.61,4.57,5.05,5.33,6.43,5.41,4.32,7.98,4.78,7.14,5.54,7.82,5.87,7.26,5.77,"mussels, rockweed, sea lettuce, sea moss, barnacles, midges, limpets, snails, seersucker kelp, 1cm orange worm"
4,TA-4-1,6,2020-06-04,9:56:00 AM,10,7.7,7.3,5.8,5.3,4.93,3.68,5.72,4.75,9.04,6.12,10.16,5.99,7.19,4.98,6.17,5.11,5.31,4.65,7.52,6.76,13.26,9.93,7.49,5.54,"midges, sea lettuce, limpets, barnacles, mussels, mud nemertean, rockweed, snails"
4,TA-4-2,25,2020-06-04,12:08:00 PM,10,7.0,7.0,5.3,5.7,4.09,5.61,6.93,4.62,10.06,6.20,4.85,4.55,7.11,3.66,7.32,5.89,5.94,4.67,5.13,5.94,10.03,5.72,8.13,6.05,"rockweed, mussels, barnacles, snails, limpets, midges, bumble bee, sea lettuce"
4,TA-4-2,6,2020-06-04,12:00:00 PM,9,4.8,4.5,3.7,3.3,3.66,3.07,3.45,4.85,3.15,2.06,4.52,3.20,3.00,2.31,7.01,5.31,5.72,4.24,7.67,5.11,4.80,3.25,N/A,N/A,"sea lettuce, turkish washcloth, sugar kelp, turkish towel, barnacles, snails, sargassum, gut weed, mussels, midge, leg of red crab, limpets, brown algae (3 types), tiny brown worm, midge larva"
4,TA-4-3,15,2020-06-18,9:22:00 AM,10,6.7,6.1,5.2,4.4,7.57,4.70,6.07,4.67,6.17,3.81,5.99,3.71,4.95,4.39,6.12,8.15,6.35,4.47,6.43,4.39,11.48,9.70,5.82,4.32,
4,TA-4-3,3,2020-06-18,9:02:00 AM,1,4.0,4.0,2.8,2.8,4.01,2.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-8,4,2020-06-18,9:36:00 AM,10,5.7,5.4,3.8,3.7,8.30,6.80,4.70,3.60,5.00,3.80,7.00,4.10,6.20,3.20,5.90,3.40,4.30,2.00,5.00,4.00,4.80,3.10,5.70,3.80,"midge flies, gut weed, sea lettuce, blue mussels, rockweed, barnacles, turkish washcloth, brown algae, snails, limpets"
4,TA-4-8,12,2020-06-18,8:59:00 AM,10,8.2,7.4,6.1,5.3,17.60,14.70,9.90,6.10,6.90,4.60,7.80,6.60,7.40,5.20,8.50,6.40,3.60,2.40,6.30,4.80,6.40,5.00,7.40,5.40,"partly in intertidal pool. blue mussels, rockweed, gut weed, barnacles, midge flies, turkish washcloth, snails, limpets, brown algae"
3,TA-3-7,19,2020-06-10,3:48:00 PM,10,8.5,7.4,7.3,5.8,12.00,11.40,17.20,10.20,9.10,6.50,1.50,5.10,1.30,6.40,6.40,5.20,16.70,13.80,6.80,4.70,5.70,4.20,8.00,5.20,"partly on large rock and intertidal pool. sea lettuce, rockweed, brown algae, turkish washcloth, filamentous red seaweed, snails, barnacles, mussels, limpets, pacific little neck clam, hermit crab, midge fly, green shore crab"
3,TA-3-7,8,2020-06-10,3:26:00 PM,10,5.3,5.1,3.9,3.8,4.60,4.00,7.10,5.20,5.50,4.10,4.70,3.30,5.40,3.00,4.50,3.60,4.80,3.10,7.50,5.50,3.30,2.30,5.50,4.40,"sea lettuce, rockweed, sea moss, mussels, barnacles"
3,TA-3-5,4,2020-06-10,1:44:00 PM,10,6.4,6.2,4.9,4.7,8.80,6.80,7.50,4.70,5.70,4.50,5.20,4.20,6.60,5.20,5.80,4.70,8.50,6.10,6.50,4.70,4.40,3.90,5.20,4.30,"horsehair worm, mussel, littorine snail, barnacles, green shore crab, midges, limpets, rockweed, sea lettuce, brown algae, sea belt"
3,TA-3-5,27,2020-06-10,2:38:00 PM,10,8.5,7.6,7.0,5.9,8.00,5.40,11.60,9.90,10.70,8.10,6.40,6.30,6.30,5.70,7.20,5.50,15.00,12.90,8.30,6.00,4.60,4.40,6.60,5.80,"midge, mussels, barnacles, littorine snail, limpets, green shore crab, p. littleneck clam, scud, rockweed, turkish washcloth, sea lettuce"
3,TA-3-4,24,2020-06-10,3:19:00 PM,10,9.1,8.9,6.6,6.4,8.00,6.53,9.78,6.99,10.03,8.13,8.41,6.07,8.56,6.38,9.42,6.27,6.63,4.78,9.30,6.43,7.77,6.05,13.08,8.23,
3,TA-3-4,4,2020-06-10,2:53:00 PM,10,7.8,7.2,6.2,5.5,6.22,7.39,9.14,7.65,7.82,5.49,7.26,5.56,7.14,5.74,6.02,5.33,5.82,4.24,5.56,3.56,7.59,4.93,15.21,12.19,
3,TA-3-2,10,2020-06-10,2:05:00 PM,10,14.3,13.1,11.6,11.0,17.48,14.38,16.05,13.08,10.24,8.18,17.32,13.92,26.97,21.84,10.06,8.94,7.29,6.71,9.25,7.59,18.97,14.38,9.50,7.42,big limpets
3,TA-3-2,9,2020-06-10,1:39:00 PM,10,9.4,9.0,7.5,7.1,13.67,10.97,10.82,9.19,8.38,6.73,9.65,7.49,13.84,10.87,7.52,5.97,5.21,4.67,10.26,8.13,8.13,6.63,6.53,4.17,
3,TA-3-3,10,2021-06-04,9:17:00 AM,10,10.2,9.6,7.9,7.5,14.40,11.40,8.70,7.70,9.50,7.40,8.20,6.00,9.20,7.30,11.50,9.40,7.70,5.90,12.70,10.20,9.60,7.50,10.00,6.40,
3,TA-3-3,9,2021-06-04,8:37:00 AM,10,12.0,10.1,9.2,8.3,18.90,13.90,15.00,12.40,13.50,8.40,8.50,6.30,8.60,6.40,8.50,6.80,20.50,14.80,6.70,6.40,9.50,8.40,10.60,8.20,
3,TA-3-7,1,2021-06-04,10:03:00 AM,10,7.7,7.9,5.9,6.1,11.10,9.40,8.30,6.10,7.20,6.10,8.30,6.60,8.80,6.10,5.50,4.40,5.50,4.20,6.40,5.10,7.40,4.90,8.30,6.10,"Giant acorn barnacle, mask limpet, pacific blue mussel, common acorn barnacle, sea lettuce, rockweed, filamentuous red seaweed, 7mm invertebrate moving like inchworm-green colour"
